Alloys,Ms,Composition,anomaly,Nd,Fe,Ce,B,Ho,Er,Gd,Lu,Co,Al,Pr,Tb,Y,Cr,Mn,Ni,Dy,Ga,Eu,Cu,Nb,Si,Ru,Sc,Ti,V,Sm,Yb,La,Tm,Th,C,Ms_group_mean,Ms_group_std,Ms_group_median,Ms_group_count,element_var,element_std,element_entropy,element_max,element_nonzero_count,element_max_ratio,element_second_max,Ms_zscore_in_group,Ms_percentile_in_group,Ms_dev_from_group_mean,Ms_dev_from_group_median,Ms_to_element_max,Ms_to_element_std,element_skew,element_kurtosis,Q1,Q3,lower_iqr,upper_iqr,Ms_outside_group_IQR,od_score,detected outliers
La2Co14B,19.86,"('B', 'Co', 'La')",1,0,0.0,0,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,0,0,0,18.48285714285714,0.9436580292619123,18.0,7,6.192540322580645,2.488481529483521,0.5783252866601272,14.0,3,0.8235294117647058,2,1.576295911770084,1.0,1.377142857142857,1.859999999999999,1.418571427558163,7.980770475846849,5.453235215572464,30.29454036864995,17.865,19.2,15.86250000000001,21.20249999999999,0,0.8178795,1
La2Fe14B,35.84,"('Fe', 'B', 'La')",1,0,14.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,0,0,0,32.26857142857143,2.320031814231783,31.58,7,6.192540322580645,2.488481529483521,0.5783252866601272,14.0,3,0.8235294117647058,2,1.662728814919131,1.0,3.571428571428577,4.260000000000005,2.559999998171429,14.40235719306904,5.453235215572464,30.29454036864995,30.62,33.54,26.23999999999999,37.92,0,0.98221415,1
Pr2Fe13.8Nb0.2B,33.15,"('Fe', 'B', 'Pr', 'Nb')",1,0,13.8,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,30.47142857142857,1.674708219078064,30.25,7,6.014475806451613,2.452442824298176,0.6399878528512358,13.8,4,0.8117647058823529,2,1.727577245295859,1.0,2.678571428571427,2.899999999999999,2.402173911302772,13.51713464484755,5.447300302843093,30.24487658298335,30.04,31.105,28.4425,32.7025,1,0.9854401,1
