Ms,Nd,Fe,Ce,B,Ho,Er,Gd,Lu,Co,Al,Pr,Tb,Y,Cr,Mn,Ni,Dy,Ga,Eu,Cu,Nb,Si,Ru,Sc,Ti,V,Sm,Yb,La,Tm,Th,C,Ms_group_mean,Ms_group_std,Ms_group_median,Ms_group_count,element_var,element_std,element_entropy,element_max,element_nonzero_count,element_max_ratio,element_second_max,Ms_zscore_in_group,Ms_percentile_in_group,Ms_dev_from_group_mean,Ms_dev_from_group_median,Ms_to_element_max,Ms_to_element_std,element_skew,element_kurtosis,Q1,Q3,lower_iqr,upper_iqr,Ms_outside_group_IQR,Anomaly,od_score,detected outliers
17.79,2,12.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,19.58571428571429,2.057780820389264,18.91,7,5.054475806451613,2.248216138731241,0.8460406765119081,12.6,4,0.7411764705882353,2,-0.9425654519690736,0.2857142857142857,-1.795714285714286,-1.120000000000001,1.411904760784202,7.912940225982991,5.321974084171218,29.21241469452299,18.145,20.83,14.1175,24.85749999999999,0,0,0.0014814573,0
5.0,2,12.0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,20.03642857142857,13.33792026640462,20.3,14,4.644153225806452,2.1550297505618,0.9160681370152874,12.0,4,0.7058823529411765,2,-1.169900483236213,0.2142857142857143,-15.03642857142857,-15.3,0.4166666663194444,2.320153573515634,5.193981327573806,28.11480229856777,13.4,26.175,-5.762499999999994,45.33749999999999,0,1,0.92285377,1
