total,datetime_utc,PV,CHP,mean_global_irradiance,Air_temp,Facility_Manager,Engine_test_stand
140.47115016487177,2023-12-11 03:00:00,0.0039939768461246,-103.701275,0.0003155405455085,9.12327781495082,John Doe,On
140.47115016487177,2023-12-11 04:00:00,0.0042364355482031,-100.273572,0.0,8.826644290017489,John Doe,On
185.8306222884517,2023-12-11 05:00:00,0.0030473848361803,-59.799855609289615,0.0,8.852401386897803,John Doe,On
80.15535857623738,2023-12-11 06:00:00,0.0025302214150074,-179.76818585245903,0.0230926117007552,8.881453643266138,John Doe,Standby
80.15535857623738,2023-12-11 07:00:00,-5.219207145534996,-53.5417086010929,1.8810847981633407,8.882630488618435,John Doe,On
304.73228808548856,2023-12-11 08:00:00,-34.915018578524176,-90.55582666666666,25.303822404728443,9.32512380278372,Jane Smith,On
378.6607672292567,2023-12-11 09:00:00,-53.073728082918514,-80.06779215846996,133.3171165428002,10.174595076163914,Jane Smith,On
401.09557852490366,2023-12-11 10:00:00,-88.51124414457462,-5.959863065573771,188.1048680413313,10.95604195988153,Jane Smith,On
271.4278056618148,2023-12-11 11:00:00,-72.37812872630242,-88.96024255191257,142.13753620911982,11.170263397199395,Jane Smith,On
287.61581120183286,2023-12-11 12:00:00,-39.60859471607524,1.9960711666666668,87.13728075177323,11.102022583612044,Jane Smith,On
281.0445911788044,2023-12-11 13:00:00,-26.139644651393755,1.8392662841530047,60.05973569819242,10.853903122451197,Jane Smith,On
281.0445911788044,2023-12-11 14:00:00,-9.383755985041992,-122.879105,19.02503194561423,10.363090249202251,Jane Smith,On
294.0415806344108,2023-12-11 15:00:00,-0.4612122056505365,-122.879105,1.660213703860454,10.310099408161696,Jane Smith,On
241.6114504884181,2023-12-11 16:00:00,0.0051947712144605,-88.0751052295082,0.0,10.41647333550393,Alex Brown,On
226.8224315008704,2023-12-11 17:00:00,0.0038953849995874,-79.17394908196721,0.0,10.348057081554378,Alex Brown,On
195.7822888314763,2023-12-11 18:00:00,0.004389866640431,-91.35600336612022,0.0,10.40567233225068,Alex Brown,On
275.5947786176108,2023-12-11 19:00:00,0.0034436199233681,1.304805146174863,0.0,10.384240026871614,Alex Brown,On
275.5947786176108,2023-12-11 20:00:00,0.0025763035920729,1.304805146174863,0.4753657647475198,9.472827574060789,Alex Brown,On
66.54225522582597,2023-12-11 21:00:00,0.0046059094561434,-166.34527972131147,1.4936790225122178,10.108638941976356,Alex Brown,Standby
235.7916033580496,2023-12-11 22:00:00,0.0043270656278618,1.951584046448088,0.0,9.971966817225203,Alex Brown,On
231.3602500049627,2023-12-11 23:00:00,0.0038093358656397,0.6062763961748634,0.0,9.30715604961758,Alex Brown,On
231.3602500049627,2023-12-12 00:00:00,0.0047483817156333,-20.8449855,0.0,9.481686213690375,John Doe,On
91.06201386644642,2023-12-12 01:00:00,0.0048087546246209,-141.2920818387978,7.515431692201666e-05,9.866409551437808,John Doe,On
232.21991709756827,2023-12-12 02:00:00,0.0048966550338116,1.7012458551912568,0.1567521767450825,10.012664269693753,John Doe,On
157.22130125123613,2023-12-12 03:00:00,0.0051077902072171,-87.50946641530054,0.1254408733527399,9.804662442707311,John Doe,On
175.0694584265054,2023-12-12 04:00:00,0.0049198124392924,-70.43235683333334,0.0544889127178893,10.231334218956256,John Doe,On
127.13277179735591,2023-12-12 05:00:00,0.0030047286083014,-117.50689333333332,0.0,10.231334218956256,John Doe,On
242.18780034886456,2023-12-12 06:00:00,0.0015349512024739,-21.8033365,0.0611888997194116,10.454107164324943,John Doe,On
305.10758204577365,2023-12-12 07:00:00,-5.457216922020415,0.0812306666666666,8.88337308829016,10.65190416318332,John Doe,On
379.2799109679977,2023-12-12 08:00:00,-31.520199249083696,0.0807961666666666,86.92595929954886,11.381367387387668,Jane Smith,On
477.3723300254964,2023-12-12 09:00:00,-20.780403397837706,0.0808933333333333,102.31398208557874,11.962483573921649,Jane Smith,On
342.03464978068087,2023-12-12 10:00:00,-41.47668276651525,-85.3372715,181.32981322913807,12.450268020357491,Jane Smith,On
238.50430501445663,2023-12-12 11:00:00,-30.559130957568573,-184.3764023333333,137.96676202108736,12.759637360750776,Jane Smith,On
238.50430501445663,2023-12-12 12:00:00,-23.44731029894339,-184.33293,64.39311924319802,13.005800360733096,Jane Smith,On
231.7654266162942,2023-12-12 13:00:00,-7.584883211887349,-184.2903523333333,43.563821145889655,12.811622985181575,Jane Smith,On
251.0865749100991,2023-12-12 14:00:00,-5.717864823178354,-184.43221466666665,18.18054764284945,11.806151380065566,Jane Smith,On
189.86659911056373,2023-12-12 15:00:00,-0.14323831024437,-184.6530368333333,4.001245773669492,12.179655776997413,Jane Smith,On
132.32930724450617,2023-12-12 16:00:00,0.004464199221757,-184.5255121666667,0.0,11.740145099537532,Alex Brown,On
136.8470935251798,2023-12-12 17:00:00,0.0040039300134126,-184.5346885,0.004288450901818,11.30447673682736,Alex Brown,On
136.8470935251798,2023-12-12 18:00:00,0.0034507674943041,-184.6628825,0.0,11.043322856147077,Alex Brown,On
103.60809579060968,2023-12-12 19:00:00,0.0024672861820729,-184.7936978333333,0.0,10.8060086186897,Alex Brown,On
43.69996876323469,2023-12-12 20:00:00,0.0023785741141782,-185.13417116666668,0.0,10.509037472728348,Alex Brown,Off
43.69996876323469,2023-12-12 21:00:00,0.0034305309838576,-184.710233,0.0,10.25654724692103,Alex Brown,Standby
54.42239838130685,2023-12-12 22:00:00,0.0023971519263329,-185.0778228333333,0.0,10.31624399065034,Alex Brown,Standby
